idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
2,0.9977702498435974,100,0.71,0.14,0.15,0.39,0.32,1.8634860459891054,0.13,5,1,nan
3,0.9986340999603271,100,0.68,0.17,0.15,0.24,0.44,1.860413005047401,0.08,5,1,nan
4,0.9604185819625854,100,0.64,0.25,0.11,0.18,0.46,1.8109296642350987,0.03,5,1,nan
9,0.9892769455909729,100,0.59,0.18,0.23,0.28,0.31,1.970990205225935,0.06,4,0,nan
13,0.9840491414070129,100,0.81,0.12,0.07,0.43,0.38,1.6896395455136892,0.14,10,1,nan
14,0.9750196933746338,100,0.64,0.19,0.17,0.42,0.22,1.896033005540601,0.07,4,0,nan
15,0.9938478469848633,100,0.55,0.24,0.21,0.34,0.21,1.9689545060094527,0.05,4,0,nan
20,0.9853794574737549,100,0.68,0.17,0.15,0.37,0.31,1.8996553159182463,0.11,4,0,nan
21,0.9824031591415405,100,0.66,0.18,0.16,0.26,0.4,1.9023841248434796,0.07,4,0,nan
23,0.9870016574859619,100,0.65,0.13,0.22,0.51,0.14,1.75575745682265,0.03,4,0,nan
41,0.9995044469833374,100,0.66,0.22,0.12,0.24,0.42,1.867421415847824,0.12,4,0,nan
46,0.993661105632782,100,0.71,0.1,0.19,0.52,0.19,1.7332222717440582,0.05,5,2,nan
49,0.9996129274368286,100,0.61,0.23,0.16,0.39,0.22,1.9210551184251294,0.06,3,0,nan
51,0.9852769374847412,100,0.72,0.15,0.13,0.25,0.47,1.805144629342934,0.07,6,1,nan
54,0.9673475027084351,100,0.69,0.14,0.17,0.6,0.09,1.5865302101791832,0.06,5,4,nan
55,0.9950535893440247,100,0.79,0.11,0.1,0.4,0.39,1.7410477989246638,0.17,5,1,nan
59,0.9925459027290344,100,0.75,0.11,0.14,0.5,0.25,1.747396880305514,0.14,5,2,nan
60,0.9756757020950317,100,0.67,0.19,0.14,0.15,0.52,1.7534580303577332,0.03,5,1,nan
62,0.9809149503707886,100,0.63,0.19,0.18,0.29,0.34,1.947611607348716,0.07,5,1,nan
63,0.9903964996337891,100,0.88,0.08,0.04,0.25,0.63,1.3972057905260962,0.15,5,2,nan
71,0.9995826482772827,100,0.71,0.12,0.17,0.56,0.15,1.6806396609820922,0.08,4,0,nan
81,0.9966977834701538,100,0.79,0.14,0.07,0.22,0.57,1.60848939196852,0.09,5,3,nan
88,0.997113049030304,100,0.73,0.14,0.13,0.45,0.28,1.8123760658038355,0.11,4,0,nan
98,0.9794982075691223,100,0.67,0.25,0.08,0.4,0.27,1.8303012787919621,0.06,5,2,nan
104,0.9690570831298828,100,0.69,0.16,0.15,0.33,0.36,1.8919995405259247,0.14,4,0,nan
109,0.9913679361343384,100,0.76,0.09,0.15,0.39,0.37,1.7837247396646503,0.12,5,1,nan
110,0.9846982955932617,100,0.66,0.14,0.2,0.23,0.43,1.8727277872941728,0.06,7,2,nan
115,0.9972108602523804,100,0.64,0.23,0.13,0.37,0.27,1.9110624056564218,0.09,4,0,nan
120,0.9975483417510986,100,0.6,0.16,0.24,0.23,0.37,1.9355481944258228,0.05,5,1,nan
121,0.998366117477417,100,0.75,0.15,0.1,0.21,0.54,1.695603880992898,0.06,6,1,nan
128,0.9710358381271362,100,0.62,0.18,0.2,0.28,0.34,1.9530873263363915,0.03,5,1,nan
133,0.9539204239845276,100,0.74,0.08,0.18,0.43,0.31,1.784174988773275,0.15,4,0,nan
134,0.953961193561554,100,0.65,0.21,0.14,0.28,0.37,1.91488271844428,0.08,4,0,nan
136,0.9925621151924133,100,0.54,0.2,0.26,0.23,0.31,1.9811361379675239,0.06,4,0,nan
138,0.992816150188446,100,0.59,0.27,0.14,0.31,0.28,1.945146640706463,0.06,4,0,nan
143,0.9816407561302185,100,0.62,0.23,0.15,0.18,0.44,1.864666938080307,0.06,4,0,nan
149,0.9930258989334106,100,0.72,0.12,0.16,0.43,0.29,1.831552356579288,0.12,7,2,nan
152,0.9586760401725769,100,0.75,0.1,0.15,0.34,0.41,1.799296103026181,0.11,4,0,nan
153,0.9828240275382996,100,0.56,0.23,0.21,0.31,0.25,1.9842853774344595,0.08,3,0,nan
157,0.9870439767837524,100,0.67,0.12,0.21,0.27,0.4,1.8786831673655646,0.07,5,1,nan
158,0.998424232006073,100,0.69,0.15,0.16,0.38,0.31,1.8878092891049532,0.1,4,0,nan
